name,num_layers,learning_rate,layer_type,hidden_features,pooling,val_accuracy,val_f1
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConvEdges,16,mean,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConvEdges,16,max,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConvEdges,32,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConvEdges,32,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConvEdges,64,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConvEdges,64,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConvEdges,16,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConvEdges,16,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConvEdges,32,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConvEdges,32,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConvEdges,64,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConvEdges,64,max,0.8214285714285714,0.8837209302325582
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConvEdges,16,mean,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConvEdges,16,max,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConvEdges,32,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConvEdges,32,max,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConvEdges,64,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConvEdges,64,max,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConvEdges,16,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConvEdges,16,max,0.7857142857142857,0.8636363636363636
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConvEdges,32,mean,0.7857142857142857,0.8636363636363636
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConvEdges,32,max,0.7857142857142857,0.8636363636363636
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConvEdges,64,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConvEdges,64,max,0.8214285714285714,0.8837209302325582
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,AttentionConvEdges,16,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,AttentionConvEdges,16,max,0.8214285714285714,0.8837209302325582
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,AttentionConvEdges,32,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,AttentionConvEdges,32,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,AttentionConvEdges,64,mean,0.7142857142857143,0.8260869565217391
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,AttentionConvEdges,64,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphSAGEConvEdges,16,mean,0.8571428571428571,0.9047619047619047
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphSAGEConvEdges,16,max,0.8571428571428571,0.9047619047619047
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphSAGEConvEdges,32,mean,0.8571428571428571,0.9047619047619047
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphSAGEConvEdges,32,max,0.8214285714285714,0.8837209302325582
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphSAGEConvEdges,64,mean,0.8214285714285714,0.8837209302325582
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphSAGEConvEdges,64,max,0.8571428571428571,0.9047619047619047
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,GraphConvEdges,16,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,GraphConvEdges,16,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,GraphConvEdges,32,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,GraphConvEdges,32,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,GraphConvEdges,64,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,GraphConvEdges,64,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,AttentionConvEdges,16,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,AttentionConvEdges,16,max,0.7142857142857143,0.8260869565217391
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,AttentionConvEdges,32,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,AttentionConvEdges,32,max,0.7142857142857143,0.8260869565217391
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.001,AttentionConvEdges,64,mean,0.7142857142857143,0.8260869565217391
