name,num_layers,learning_rate,layer_type,hidden_features,pooling,val_accuracy,val_f1
GraphConvEdges_1_0.1_16_mean,1,0.1,GraphConvEdges,16,mean,0.75,0.8444444444444443
GraphConvEdges_1_0.1_16_max,1,0.1,GraphConvEdges,16,max,0.75,0.8444444444444443
GraphConvEdges_1_0.1_32_mean,1,0.1,GraphConvEdges,32,mean,0.7142857142857143,0.8260869565217391
GraphConvEdges_1_0.1_32_max,1,0.1,GraphConvEdges,32,max,0.7142857142857143,0.8260869565217391
GraphConvEdges_1_0.1_64_mean,1,0.1,GraphConvEdges,64,mean,0.75,0.8444444444444443
GraphConvEdges_1_0.1_64_max,1,0.1,GraphConvEdges,64,max,0.7142857142857143,0.8260869565217391
AttentionConvEdges_1_0.1_16_mean,1,0.1,AttentionConvEdges,16,mean,0.75,0.8444444444444443
AttentionConvEdges_1_0.1_16_max,1,0.1,AttentionConvEdges,16,max,0.75,0.8444444444444443
AttentionConvEdges_1_0.1_32_mean,1,0.1,AttentionConvEdges,32,mean,0.7857142857142857,0.8636363636363636
AttentionConvEdges_1_0.1_32_max,1,0.1,AttentionConvEdges,32,max,0.75,0.8444444444444443
AttentionConvEdges_1_0.1_64_mean,1,0.1,AttentionConvEdges,64,mean,0.75,0.8444444444444443
AttentionConvEdges_1_0.1_64_max,1,0.1,AttentionConvEdges,64,max,0.75,0.8444444444444443
GraphSAGEConvEdges_1_0.1_16_mean,1,0.1,GraphSAGEConvEdges,16,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_1_0.1_16_max,1,0.1,GraphSAGEConvEdges,16,max,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_1_0.1_32_mean,1,0.1,GraphSAGEConvEdges,32,mean,0.7142857142857143,0.8260869565217391
GraphSAGEConvEdges_1_0.1_32_max,1,0.1,GraphSAGEConvEdges,32,max,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_1_0.1_64_mean,1,0.1,GraphSAGEConvEdges,64,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_1_0.1_64_max,1,0.1,GraphSAGEConvEdges,64,max,0.6785714285714286,0.8085106382978724
GraphConvEdges_1_0.01_16_mean,1,0.01,GraphConvEdges,16,mean,0.7857142857142857,0.8571428571428571
GraphConvEdges_1_0.01_16_max,1,0.01,GraphConvEdges,16,max,0.7142857142857143,0.8260869565217391
GraphConvEdges_1_0.01_32_mean,1,0.01,GraphConvEdges,32,mean,0.7857142857142857,0.8571428571428571
GraphConvEdges_1_0.01_32_max,1,0.01,GraphConvEdges,32,max,0.75,0.8444444444444443
GraphConvEdges_1_0.01_64_mean,1,0.01,GraphConvEdges,64,mean,0.7857142857142857,0.8571428571428571
GraphConvEdges_1_0.01_64_max,1,0.01,GraphConvEdges,64,max,0.75,0.8444444444444443
AttentionConvEdges_1_0.01_16_mean,1,0.01,AttentionConvEdges,16,mean,0.75,0.8444444444444443
AttentionConvEdges_1_0.01_16_max,1,0.01,AttentionConvEdges,16,max,0.75,0.8444444444444443
AttentionConvEdges_1_0.01_32_mean,1,0.01,AttentionConvEdges,32,mean,0.75,0.8444444444444443
AttentionConvEdges_1_0.01_32_max,1,0.01,AttentionConvEdges,32,max,0.75,0.8444444444444443
AttentionConvEdges_1_0.01_64_mean,1,0.01,AttentionConvEdges,64,mean,0.75,0.8444444444444443
AttentionConvEdges_1_0.01_64_max,1,0.01,AttentionConvEdges,64,max,0.75,0.8444444444444443
GraphSAGEConvEdges_1_0.01_16_mean,1,0.01,GraphSAGEConvEdges,16,mean,0.7857142857142857,0.8571428571428571
GraphSAGEConvEdges_1_0.01_16_max,1,0.01,GraphSAGEConvEdges,16,max,0.7142857142857143,0.8260869565217391
GraphSAGEConvEdges_1_0.01_32_mean,1,0.01,GraphSAGEConvEdges,32,mean,0.75,0.8372093023255814
GraphSAGEConvEdges_1_0.01_32_max,1,0.01,GraphSAGEConvEdges,32,max,0.75,0.8444444444444443
GraphSAGEConvEdges_1_0.01_64_mean,1,0.01,GraphSAGEConvEdges,64,mean,0.75,0.8372093023255814
GraphSAGEConvEdges_1_0.01_64_max,1,0.01,GraphSAGEConvEdges,64,max,0.75,0.8444444444444443
GraphConvEdges_1_0.001_16_mean,1,0.001,GraphConvEdges,16,mean,0.6785714285714286,0.8085106382978724
GraphConvEdges_1_0.001_16_max,1,0.001,GraphConvEdges,16,max,0.75,0.8444444444444443
GraphConvEdges_1_0.001_32_mean,1,0.001,GraphConvEdges,32,mean,0.6785714285714286,0.8085106382978724
GraphConvEdges_1_0.001_32_max,1,0.001,GraphConvEdges,32,max,0.75,0.8372093023255814
GraphConvEdges_1_0.001_64_mean,1,0.001,GraphConvEdges,64,mean,0.75,0.8372093023255814
GraphConvEdges_1_0.001_64_max,1,0.001,GraphConvEdges,64,max,0.75,0.8372093023255814
AttentionConvEdges_1_0.001_16_mean,1,0.001,AttentionConvEdges,16,mean,0.75,0.8444444444444443
AttentionConvEdges_1_0.001_16_max,1,0.001,AttentionConvEdges,16,max,0.7142857142857143,0.8260869565217391
AttentionConvEdges_1_0.001_32_mean,1,0.001,AttentionConvEdges,32,mean,0.7142857142857143,0.8260869565217391
AttentionConvEdges_1_0.001_32_max,1,0.001,AttentionConvEdges,32,max,0.75,0.8444444444444443
AttentionConvEdges_1_0.001_64_mean,1,0.001,AttentionConvEdges,64,mean,0.7142857142857143,0.8260869565217391
AttentionConvEdges_1_0.001_64_max,1,0.001,AttentionConvEdges,64,max,0.75,0.8444444444444443
GraphSAGEConvEdges_1_0.001_16_mean,1,0.001,GraphSAGEConvEdges,16,mean,0.6785714285714286,0.8085106382978724
GraphSAGEConvEdges_1_0.001_16_max,1,0.001,GraphSAGEConvEdges,16,max,0.7857142857142857,0.8571428571428571
