name,num_layers,learning_rate,layer_type,hidden_features,pooling,val_accuracy,val_f1
Baseline,1,0.01,GraphConv,32,mean,0.7857142857142857,0.8571428571428571
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConv,16,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConv,16,max,0.6785714285714286,0.7999999999999999
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConv,32,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConv,32,max,0.7142857142857143,0.8260869565217391
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConv,64,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphConv,64,max,0.7142857142857143,0.8260869565217391
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConv,16,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConv,16,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConv,32,mean,0.7142857142857143,0.8260869565217391
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConv,32,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConv,64,mean,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,AttentionConv,64,max,0.7857142857142857,0.8636363636363636
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConv,16,mean,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConv,16,max,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConv,32,mean,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConv,32,max,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConv,64,mean,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.1,GraphSAGEConv,64,max,0.6785714285714286,0.8085106382978724
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConv,16,mean,0.7857142857142857,0.8571428571428571
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConv,16,max,0.7857142857142857,0.8636363636363636
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConv,32,mean,0.75,0.8372093023255814
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConv,32,max,0.7142857142857143,0.8260869565217391
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConv,64,mean,0.7857142857142857,0.8571428571428571
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,GraphConv,64,max,0.75,0.8444444444444443
{lt}_{nl}_{lr}_{hf}_{pooling},1,0.01,AttentionConv,16,mean,0.75,0.8444444444444443
